Location,Area Type,Context,Current Target,Research Source 1,Research Source 2,Research Source 3,Proposed Target,Confidence,Notes
Bethesda MD,suburban,High-score suburban,80,,,,,,
Boston Back Bay MA,urban_core,Dense urban coastal,75,,,,,,
Boulder CO,urban_core,Mountain town,95,,,,,,
Downtown Chicago IL,urban_core,Dense urban lakefront,83,,,,,,
Downtown Denver CO,urban_core,Mountain city,92,,,,,,
Downtown Las Vegas NV,suburban,Desert low score,42,,,,,,
Downtown Phoenix AZ,suburban,Desert low score,48,,,,,,
Downtown Portland OR,urban_residential,Coastal high parks,88,,,,,,
Downtown Seattle WA,urban_core,Coastal high parks,92,,,,,,
Lake Placid NY,rural,Mountain resort,94,,,,,,
Miami Beach FL,rural,Coastal beach,60,,,,,,
Park City UT,exurban,Mountain resort,92,,,,,,
Park Slope Brooklyn NY,urban_core,High parks dense,70,,,,,,
Santa Monica CA,urban_core,Coastal beach,78,,,,,,
Times Square NY,urban_core,Dense urban low score,35,,,,,,
Truckee CA,rural,Mountain town,95,,,,,,
Upper West Side New York NY,urban_core,High parks dense,72,,,,,,
Walnut Creek CA,suburban,High-score suburban,82,,,,,,
Asheville NC,exurban,Mountain town outdoor hub,,,,
Bend OR,exurban,Outdoor recreation mecca,,,,
Flagstaff AZ,exurban,Mountain desert edge,,,,
Missoula MT,exurban,Mountain town river access,,,,
Downtown Houston TX,urban_core,Dense urban limited parks,,,,
Downtown Dallas TX,urban_core,Dense urban limited parks,,,,
Downtown Indianapolis IN,urban_core,Mid-size moderate parks,,,,
Downtown Kansas City MO,urban_core,Mid-size moderate parks,,,,
Suburban Phoenix AZ (Scottsdale),suburban,Desert suburban,,,,
Suburban Denver CO (Golden),suburban,Mountain suburban,,,,
Suburban Miami FL (Coral Gables),suburban,Coastal suburban,,,,
Downtown Detroit MI,urban_core,Very low parks urban decay,,,,

